monthssinceheatwave,treatment,replicate, sex,individualreplicate,weighting
3,control,p4,m,5,0.00097
3,control,p6,f,1,0.00096
3,control,p6,f,2,0.00123
3,control,p6,f,3,0.00093
3,control,p6,f,4,0.00108
3,control,p6,f,5,0.00085
3,control,p6,m,1,0.00104
3,control,p6,m,2,0.00093
3,control,p6,m,3,0.00091
3,control,p6,m,4,0.00088
3,control,p6,m,5,0.00105
3,control,p8,f,1,0.00103
3,control,p8,f,2,0.00117
3,control,p8,f,3,0.00113
3,control,p8,f,4,0.00093
3,control,p8,f,5,0.00108
3,control,p8,m,1,0.00092
3,control,p8,m,1,0.00107
3,control,p8,m,2,0.00092
3,control,p8,m,2,0.00088
3,control,p8,m,3,0.00094
3,control,p8,m,3,0.00123
3,control,p8,m,4,0.00109
3,control,p8,m,4,0.00115
3,control,p8,m,5,0.00094
3,control,p8,m,5,0.00103
3,control,p9,f,1,0.00098
3,control,p9,f,2,0.00101
3,control,p9,f,3,0.00117
3,control,p9,f,4,0.001
3,control,p9,f,5,0.00109
3,control,p9,m,1,0.00096
3,control,p9,m,2,0.00103
3,control,p9,m,3,0.00095
3,control,p9,m,4,0.00101
3,control,p9,m,5,NA
3,control,p10,f,1,0.00101
3,control,p10,f,2,0.00128
3,control,p10,f,3,0.00101
3,control,p10,f,4,0.00087
3,control,p10,f,5,0.00111
3,control,p10,m,1,0.00111
3,control,p10,m,2,0.0009
3,control,p10,m,3,0.00098
3,control,p10,m,4,0.0011
3,control,p10,m,5,NA
